StationID,WmoCode,StationNameThai,StationNameEnglish,StationType,ZipCode,Latitude,Longitude,HeightAboveMSL,HeightofWindWane,HeightofBarometer,HeightofThermometer,province_id
5508001401,48307,ทุ่งช้าง,THUNG CHANG,สถานีอุตุนิยมวิทยา(อุทก),55130,19.411944444444,100.88352777778,333.39,11.94,334.94,1.25,PROV44
5601001201,48310,พะเยา,PHAYAO,สถานีอุตุนิยมวิทยา,56000,19.133333333333,99.9,396.89,12.00,398.94,1.50,PROV45
5701001201,48303,เชียงราย,CHIANG RAI,สถานีอุตุนิยมวิทยา,57100,19.961388888889,99.881388888889,390.00,10.50,393.00,1.25,PROV46
5701001301,48304,เชียงราย สกษ.,CHAING RAI AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),57000,19.870833333333,99.782777777778,397.00,11.00,401.05,5.00,PROV46
5801001201,48300,แม่ฮ่องสอน,MAE HONG SON,สถานีอุตุนิยมวิทยา,58000,19.298972222222,97.975777777778,267.74,19.98,278.48,1.20,PROV47
5804001201,48325,แม่สะเรียง,MAE SARIANG,สถานีอุตุนิยมวิทยา,58110,18.166666666667,97.933333333333,211.00,11.77,213.00,1.20,PROV47
6001001201,48400,นครสวรรค์ ,NAKHON SAWAN,สถานีอุตุนิยมวิทยา,60000,15.671833333333,100.13236111111,33.91,14.00,35.28,1.20,PROV48
6012001301,48401,ตากฟ้า สกษ.,TAKFA AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),60190,15.349444444444,100.53027777778,86.67,11.00,86.94,1.25,PROV48
6201001201,48380,กำแพงเพชร,KAMPHAENG PHET,สถานีอุตุนิยมวิทยา,62000,16.486805555556,99.526972222222,80.00,12.40,81.80,1.50,PROV50
6301001201,48376,ตาก,TAK,สถานีอุตุนิยมวิทยา,63000,16.878333333333,99.143333333333,125.62,12.00,126.62,1.50,PROV51
6301001301,48387,ดอยมูเซอร์ สกษ.,DOI MU SOE AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),63000,16.75,98.933333333333,863.00,10.50,867.80,1.25,PROV51
6303001201,48377,เขื่อนภูมิพล,BHUMIBOL DAM,สถานีอุตุนิยมวิทยา,63130,17.243888888889,99.0025,143.73,15.00,144.38,1.25,PROV51
6306001201,48375,แม่สอด,MAE SOT,สถานีอุตุนิยมวิทยา,63110,16.659166666667,98.550833333333,196.00,11.56,197.46,1.50,PROV51
6308001401,48385,อุ้มผาง,UMPHANG,สถานีอุตุนิยมวิทยา(อุทก),63170,16.024722222222,98.864444444444,454.00,12.00,460.00,1.25,PROV51
6406001201,48372,สุโขทัย,SUKHOTHAI*,สถานีอุตุนิยมวิทยา,64120,17.106111111111,99.8,48.29,11.00,50.20,1.25,PROV52
6406001301,48373,ศรีสำโรง สกษ.,SI SAMRONG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),64120,17.161361111111,99.861666666667,54.00,10.20,54.20,1.25,PROV52
6501001201,48378,พิษณุโลก,PHITSANULOK,สถานีอุตุนิยมวิทยา,65000,16.794805555556,100.27930555556,44.02,1.00,45.74,1.25,PROV53
6601001301,48386,พิจิตร สกษ.,PICHIT AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),66000,16.438055555556,100.2925,35.95,11.00,37.95,1.20,PROV54
6701001201,48379,เพชรบูรณ์,PHETCHABUN,สถานีอุตุนิยมวิทยา,67000,16.433333333333,101.15,114.00,10.00,116.07,1.25,PROV55
6703001401,48374,หล่มสัก,LOM SAK,สถานีอุตุนิยมวิทยา(อุทก),67110,16.773611111111,101.24944444444,142.81,10.75,144.86,1.25,PROV55
6705001401,48413,วิเชียรบุรี,WICHIAN BURI,สถานีอุตุนิยมวิทยา(อุทก),67130,15.657,101.108,68.00,10.00,69.70,1.20,PROV55
6711001301,{},{},Khao Kho Agromet,สถานีอุตุนิยมวิทยา(เกษตร),{},{},{},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},{'@attributes': {'unit': 'm.'}},PROV55
7001001301,48464,ราชบุรี,RATCHA BURI,สถานีอุตุนิยมวิทยา(เกษตร),70000,13.489305555556,99.792388888889,5.00,10.70,.00,1.50,PROV56
7100001201,48450,กาญจนบุรี,KANCHANA BURI,สถานีอุตุนิยมวิทยา,71000,14.0225,99.535833333333,27.53,14.80,28.78,1.25,PROV57
7107001401,48421,ทองผาภูมิ,THONG PHAPHUM,สถานีอุตุนิยมวิทยา(อุทก),71180,14.742222222222,98.636388888889,97.36,12.47,99.29,1.25,PROV57
7201001201,48425,สุพรรณบุรี,SUPHAN BURI,สถานีอุตุนิยมวิทยา,72000,14.474444444444,100.13888888889,7.23,11.50,8.83,1.20,PROV58
7209001301,48427,อู่ทอง สกษ.,U THONG AGROMET.,สถานีอุตุนิยมวิทยา(เกษตร),72160,14.303611111111,99.864722222222,6.00,10.80,6.68,1.50,PROV58
